foe_ship_time,foe_ship_id,foe_ship_x,foe_ship_y
618,3,211.0166527689127,528.0890932475947
620,2,242.70282943222185,540.2308879871767
620,3,211.15551236905753,528.0862410722129
622,2,242.82690920965396,540.1684834016946
622,3,211.29437196920236,528.0833888968311
624,2,242.95098898708608,540.1060788162125
624,3,211.43323156934719,528.0805367214493
626,2,243.0750687645182,540.0436742307304
626,3,211.572091169492,528.0776845460675
628,2,243.1991485419503,539.9812696452483
628,3,211.71095076963684,528.0748323706857
630,2,243.32322831938242,539.9188650597662
630,3,211.84981036978166,528.0719801953039
632,2,243.44730809681454,539.8564604742841
632,3,211.9886699699265,528.0691280199221
634,2,243.57138787424665,539.794055888802
634,3,212.12752957007132,528.0662758445403
636,2,243.69546765167877,539.7316513033198
636,3,212.26638917021614,528.0634236691585
638,2,243.81954742911088,539.6692467178377
638,3,212.40524877036097,528.0605714937767
640,2,243.943627206543,539.6068421323556
640,3,212.5441083705058,528.0577193183949
642,2,244.0677069839751,539.5444375468735
642,3,212.68296797065062,528.0548671430131
644,2,244.19178676140723,539.4820329613914
644,3,212.82182757079545,528.0520149676313
646,2,244.31586653883934,539.4196283759093
646,3,212.96068717094028,528.0491627922495
648,2,244.43994631627146,539.3572237904272
648,3,213.0995467710851,528.0463106168677
650,2,244.56402609370357,539.294819204945
650,3,213.23840637122993,528.0434584414859
652,2,244.6881058711357,539.2324146194629
652,3,213.37726597137475,528.0406062661041
654,2,244.8121856485678,539.1700100339808
654,3,213.51612557151958,528.0377540907223
656,2,244.93626542599992,539.1076054484987
656,3,213.6549851716644,528.0349019153405
658,2,245.06034520343204,539.0452008630166
658,3,213.79384477180923,528.0320497399587
660,2,245.18442498086415,538.9827962775345
660,3,213.93270437195406,528.0291975645769
662,2,245.30850475829627,538.9203916920524
662,3,214.0715639720989,528.0263453891951
664,2,245.43258453572838,538.8579871065702
664,3,214.2104235722437,528.0234932138133
666,2,245.5566643131605,538.7955825210881
666,3,214.34928317238854,528.0206410384314
