foe_sam_time,foe_sam_id,foe_sam_x,foe_sam_y
108,7762.0-3912.0,70.18188237759715,290.36734735877434
108,7616.0-4572.0,100.27609046606206,294.3926469774549
108,382.0-2828.0,52.72729719451954,270.22998367908815
108,6586.0-2842.0,56.88089848913692,342.23754932926295
108,6589.0-916.0,180.49755874023305,266.2244703483964
108,2018.0-3491.0,195.77055700452755,310.3331233606664
108,7974.0-3062.0,104.801141308954,290.4266603481166
108,9522.0-4450.0,159.68674266447525,333.3931532862965
108,5557.0-3147.0,121.38765528829185,305.0884940897459
108,9936.0-4094.0,172.7514575516177,349.496292635405
108,6862.0-1202.0,121.92559183646624,323.88463182839314
108,5451.0-2256.0,126.80240870818533,382.84300665040814
108,7879.0-4282.0,117.0827602575796,344.30689845808456
108,8906.0-4866.0,140.19528246912517,396.95250936047137
108,7278.0-3462.0,146.25605825089994,356.5224486734022
108,5934.0-1830.0,126.78853665321874,424.52630841978464
108,4724.0-4284.0,129.22327566689208,379.1559909977072
108,3231.0-4357.0,164.32102928271485,426.9306231976816
108,6647.0-1667.0,153.9397616534892,392.570178189996
108,2156.0-3675.0,199.82046160120558,438.0664127089829
108,5181.0-1973.0,128.50159218736403,418.4559906841855
108,3656.0-4008.0,193.41235159862657,457.2227291143591
108,310.0-2884.0,147.62436514977367,431.4032825756432
108,7827.0-3507.0,171.38672763501694,483.6399543743445
108,6228.0-2468.0,178.9320996963991,500.4371767672849
108,8405.0-3560.0,199.6340277425406,511.88301096643164
108,8503.0-4757.0,163.41252937562433,484.3985925148386
108,4439.0-155.0,196.51307903031204,532.7115942645058
108,6830.0-381.0,170.669541398172,501.66086431520705
108,4101.0-210.0,173.3168018448065,519.8957584759195
110,382.0-2828.0,55.81250922320176,261.5847315334107
110,2018.0-3491.0,195.3328645817718,301.164298830372
110,5451.0-2256.0,122.92001240459768,374.5251994353932
110,7879.0-4282.0,114.43472964465764,335.51787963928035
110,3231.0-4357.0,161.3372839183546,418.2498293673384
110,6830.0-381.0,169.1624298870468,492.60616758824267
112,2018.0-3491.0,194.895172159016,291.9954743000776
112,5451.0-2256.0,119.03761610101004,366.2073922203782
112,7879.0-4282.0,111.78669903173568,326.72886082047614
112,3231.0-4357.0,158.35353855399435,409.5690355369952
112,6830.0-381.0,167.65531837592164,483.5514708612783
114,2018.0-3491.0,194.45747973626024,282.8266497697832
114,5451.0-2256.0,115.1552197974224,357.88958500536324
114,7879.0-4282.0,109.13866841881372,317.939842001672
114,3231.0-4357.0,155.3697931896341,400.888241706652
114,6830.0-381.0,166.14820686479646,474.4967741343139
116,2018.0-3491.0,194.01978731350445,273.65782523948883
116,5451.0-2256.0,111.27282349383476,349.5717777903483
116,7879.0-4282.0,106.49063780589178,309.1508231828678
116,3231.0-4357.0,152.38604782527386,392.20744787630883
116,6830.0-381.0,164.6410953536713,465.44207740734953
118,2018.0-3491.0,193.5820948907487,264.48900070919444
118,5451.0-2256.0,107.39042719024712,341.2539705753333
118,7879.0-4282.0,103.84260719296982,300.3618043640636
118,3231.0-4357.0,149.40230246091363,383.52665404596564
118,6830.0-381.0,163.13398384254612,456.38738068038515
120,2018.0-3491.0,193.1444024679929,255.32017617890006
120,5451.0-2256.0,103.50803088665948,332.93616336031835
120,7879.0-4282.0,101.19457658004787,291.5727855452594
120,3231.0-4357.0,146.41855709655337,374.84586021562245
120,6830.0-381.0,161.62687233142094,447.33268395342077
120,3632.0-3654.0,209.72478320179889,546.9002585536543
120,1742.0-2827.0,174.96412084832522,519.7208564087946
122,2018.0-3491.0,192.70671004523714,246.15135164860567
122,5451.0-2256.0,99.62563458307184,324.6183561453034
122,7879.0-4282.0,98.54654596712592,282.7837667264552
122,3231.0-4357.0,143.43481173219314,366.16506638527926
122,6830.0-381.0,160.11976082029577,438.2779872264564
122,3632.0-3654.0,207.89076110683683,537.9060781641215
122,1742.0-2827.0,173.62648896394433,510.6395757245434
124,2018.0-3491.0,192.26901762248136,236.98252711831128
124,5451.0-2256.0,95.74323827948419,316.3005489302884
124,7879.0-4282.0,97.78354179983056,273.63626747447626
124,3231.0-4357.0,140.45106636783288,357.48427255493607
124,6830.0-381.0,158.6126493091706,429.223290499492
124,3632.0-3654.0,206.05673901187478,528.9118977745886
124,1742.0-2827.0,172.28885707956343,501.55829504029225
124,4756.0-1722.0,209.75908340968712,546.8217194282358
126,2018.0-3491.0,191.8313251997256,227.8137025880169
126,5451.0-2256.0,91.86084197589653,307.98274171527345
126,7879.0-4282.0,97.13132310224924,264.4802023428386
126,3231.0-4357.0,137.46732100347265,348.8034787245929
126,6830.0-381.0,157.10553779804542,420.16859377252763
126,3632.0-3654.0,204.22271691691273,519.9177173850558
126,1742.0-2827.0,170.95122519518253,492.4770143560411
126,4756.0-1722.0,207.71120196774908,537.8738090842487
128,2018.0-3491.0,191.3936327769698,218.6448780577225
128,5451.0-2256.0,87.97844567230888,299.6649345002585
128,7879.0-4282.0,96.61829303224944,255.31528455425251
128,3231.0-4357.0,134.48357563911242,340.1226848942497
128,6830.0-381.0,155.59842628692024,411.11389704556325
128,3632.0-3654.0,202.38869482195068,510.92353699552297
128,1742.0-2827.0,169.61359331080163,483.3957336717899
128,4756.0-1722.0,205.66332052581103,528.9258987402616
128,6409.0-631.0,210.66958469761454,546.5707257351359
130,2018.0-3491.0,190.95594035421405,209.47605352742812
130,5451.0-2256.0,88.68711088360718,290.5130652080012
130,7879.0-4282.0,96.28930039583075,246.14191648306686
130,3231.0-4357.0,131.49983027475216,331.4418910639065
130,6830.0-381.0,154.09131477579507,402.05920031859887
130,3632.0-3654.0,200.55467272698863,501.92935660599017
130,1742.0-2827.0,168.27596142642074,474.31445298753874
130,4756.0-1722.0,203.61543908387299,519.9779883962744
130,6409.0-631.0,209.28404498873968,537.496630869013
132,2018.0-3491.0,181.78018395712286,209.729849637536
132,7879.0-4282.0,96.22412471551533,236.96288221714536
132,3231.0-4357.0,128.51608491039192,322.7610972335633
132,6830.0-381.0,152.5842032646699,393.0045035916345
132,3632.0-3654.0,198.72065063202658,492.93517621645736
132,1742.0-2827.0,166.93832954203984,465.2331723032876
132,4756.0-1722.0,201.56755764193494,511.0300780522873
132,6409.0-631.0,207.89850527986482,528.4225360028901
132,1715.0-3685.0,208.64628882557906,547.1006703336774
134,7879.0-4282.0,96.5973930280144,227.79120904966115
134,3231.0-4357.0,125.53233954603168,314.0803034032201
134,6830.0-381.0,151.07709175354472,383.9498068646701
134,3632.0-3654.0,196.88662853706452,483.94099582692456
134,1742.0-2827.0,165.60069765765894,456.1518916190364
134,4756.0-1722.0,199.5196761999969,502.0821677083002
134,6409.0-631.0,206.51296557098996,519.3484411367672
134,1715.0-3685.0,204.9892936898045,538.6813292370603
136,7879.0-4282.0,98.02041838918943,218.72291721791476
136,3231.0-4357.0,123.03132367722495,305.2483252811773
136,6830.0-381.0,149.56998024241955,374.89511013770573
136,3632.0-3654.0,195.05260644210247,474.94681543739176
136,1742.0-2827.0,164.26306577327804,447.07061093478524
136,4756.0-1722.0,197.47179475805885,493.13425736431304
136,6409.0-631.0,205.1274258621151,510.27434627064434
136,1715.0-3685.0,201.33229855402993,530.2619881404431
470,9833.0-1867.0,198.41306265580715,519.3885983388728
472,9833.0-1867.0,196.22394255356357,510.4741902765156
474,9833.0-1867.0,194.03482245132,501.5597822141584
474,124.0-4610.0,198.1898341828895,519.5210583615215
476,9833.0-1867.0,191.84570234907642,492.6453741518012
476,124.0-4610.0,195.4997664074386,510.74481467257647
478,9833.0-1867.0,189.65658224683284,483.730966089444
478,124.0-4610.0,192.80969863198771,501.9685709836315
